history,count,description
ShAdGaDgTCctGgCFf,1,"Data Payload Transferred (Confirmed)"
ShDdAfaGtTF,1,"Data Payload Transferred (Confirmed)"
ShDfGFa,1,"Data Payload Transferred (Confirmed)"
ShRADF,1,"Data Payload Transferred (Confirmed)"
ShaGfF,1,
ShfGFt,1,
"^hADaRRR",1,"Data Payload Transferred (Confirmed)"
"^hADafF",1,"Data Payload Transferred (Confirmed)"
"^hADdahTCtcTCFfr",1,"Data Payload Transferred (Confirmed)"
"^hADdahTtcCCTtcr",1,"Data Payload Transferred (Confirmed)"
